Packet No,Time,Source MAC,Destination MAC,Ethernet Type,Direction,Source IP,Destination IP,TTL,IP ID,Fragment Offset,Protocol,Source Port,Destination Port,Service,TCP Flags,Packet Length
1,22:19:45,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,13.107.139.11,128,50868,0,TCP,59528,443,HTTPS,PA,2664
2,22:19:45,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,13.107.139.11,128,50871,0,TCP,59528,443,HTTPS,PA,1283
3,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55119,0,TCP,443,59528,HTTPS,A,60
4,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55120,0,TCP,443,59528,HTTPS,A,60
5,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55121,0,TCP,443,59528,HTTPS,A,60
6,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55122,0,TCP,443,59528,HTTPS,A,60
7,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,192.168.1.1,128,34584,0,UDP,59597,53,DNS,,92
8,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,192.168.1.1,192.168.1.10,64,37537,0,UDP,53,59597,DNS,,219
9,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10538,0,TCP,62948,443,HTTPS,S,66
10,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54491,0,TCP,443,62948,HTTPS,SA,66
11,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10539,0,TCP,62948,443,HTTPS,A,54
12,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10540,0,TCP,62948,443,HTTPS,PA,571
13,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23178,0,TCP,57519,443,HTTPS,PA,172
14,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23179,0,TCP,57519,443,HTTPS,A,7554
15,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23185,0,TCP,57519,443,HTTPS,PA,1430
16,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54492,0,TCP,443,62948,HTTPS,PA,153
17,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10541,0,TCP,62948,443,HTTPS,PA,491
18,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55123,0,TCP,443,59528,HTTPS,A,2554
19,22:19:46,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55125,0,TCP,443,59528,HTTPS,PA,538
20,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,13.107.139.11,128,50872,0,TCP,59528,443,HTTPS,A,54
21,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,31022,0,TCP,59558,443,HTTPS,PA,2753
22,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43686,0,TCP,443,57519,HTTPS,A,60
23,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43687,0,TCP,443,57519,HTTPS,A,60
24,22:19:46,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43688,0,TCP,443,57519,HTTPS,A,60
25,22:19:46,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43689,0,TCP,443,57519,HTTPS,A,60
26,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54493,0,TCP,443,62948,HTTPS,PA,332
27,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10542,0,TCP,62948,443,HTTPS,PA,4109
28,22:19:46,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43690,0,TCP,443,57519,HTTPS,PA,148
29,22:19:46,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23187,0,TCP,57519,443,HTTPS,A,54
30,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,162.159.136.234,192.168.1.10,59,51503,0,TCP,443,51555,HTTPS,PA,113
31,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,110,16089,0,TCP,443,59558,HTTPS,A,60
32,22:19:47,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,162.159.136.234,128,25383,0,TCP,51555,443,HTTPS,A,54
33,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54494,0,TCP,443,62948,HTTPS,A,60
34,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54495,0,TCP,443,62948,HTTPS,A,60
35,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54496,0,TCP,443,62948,HTTPS,FPA,518
36,22:19:47,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10546,0,TCP,62948,443,HTTPS,A,54
37,22:19:47,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10547,0,TCP,62948,443,HTTPS,PA,78
38,22:19:47,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,40.79.141.152,128,10548,0,TCP,62948,443,HTTPS,FA,54
39,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,110,16090,0,TCP,443,59558,HTTPS,A,60
40,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,110,16091,0,TCP,443,59558,HTTPS,A,5054
41,22:19:47,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,110,16095,0,TCP,443,59558,HTTPS,PA,66
42,22:19:47,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,31025,0,TCP,59558,443,HTTPS,A,54
43,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,40.79.141.152,192.168.1.10,113,54497,0,TCP,443,62948,HTTPS,A,60
44,22:19:47,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,162.159.136.234,192.168.1.10,59,51504,0,TCP,443,51555,HTTPS,PA,112
