Packet No,Time,Source MAC,Destination MAC,Ethernet Type,Direction,Source IP,Destination IP,TTL,IP ID,Fragment Offset,Protocol,Source Port,Destination Port,Service,TCP Flags,Packet Length
1,22:18:34,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55088,0,TCP,443,59528,HTTPS,A,2554
2,22:18:34,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,13.107.139.11,192.168.1.10,117,55090,0,TCP,443,59528,HTTPS,PA,485
3,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,13.107.139.11,128,50822,0,TCP,59528,443,HTTPS,A,54
4,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,30992,0,TCP,59529,443,HTTPS,S,66
5,22:18:34,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,109,59236,0,TCP,443,59529,HTTPS,SA,66
6,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,30993,0,TCP,59529,443,HTTPS,A,54
7,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,30994,0,TCP,59529,443,HTTPS,PA,629
8,22:18:34,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59237,0,TCP,443,59529,HTTPS,A,7554
9,22:18:34,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59243,0,TCP,443,59529,HTTPS,PA,1256
10,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,30995,0,TCP,59529,443,HTTPS,A,54
11,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,30996,0,TCP,59529,443,HTTPS,PA,134
12,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,30997,0,TCP,59529,443,HTTPS,PA,2754
13,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23068,0,TCP,57519,443,HTTPS,PA,173
14,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23069,0,TCP,57519,443,HTTPS,A,7554
15,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23075,0,TCP,57519,443,HTTPS,PA,7456
16,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,192.168.1.1,128,34551,0,UDP,61369,53,DNS,,92
17,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,192.168.1.1,128,34552,0,UDP,59597,53,DNS,,92
18,22:18:34,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,192.168.1.1,192.168.1.10,64,36207,0,UDP,53,61369,DNS,,212
19,22:18:34,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,192.168.1.1,192.168.1.10,64,36208,0,UDP,53,59597,DNS,,257
20,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.168.112.67,128,42686,0,TCP,59530,443,HTTPS,S,66
21,22:18:34,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,192.168.1.1,128,34553,0,UDP,137,137,Unknown,,110
22,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59244,0,TCP,443,59529,HTTPS,PA,157
23,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59245,0,TCP,443,59529,HTTPS,A,60
24,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59246,0,TCP,443,59529,HTTPS,A,60
25,22:18:35,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,31000,0,TCP,59529,443,HTTPS,A,54
26,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59247,0,TCP,443,59529,HTTPS,A,3804
27,22:18:35,ec:75:0c:24:ab:40,8c:53:e6:f8:58:87,0x800,Incoming,52.104.13.41,192.168.1.10,106,59250,0,TCP,443,59529,HTTPS,PA,1267
28,22:18:35,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.104.13.41,128,31001,0,TCP,59529,443,HTTPS,A,54
29,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43612,0,TCP,443,57519,HTTPS,A,60
30,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43613,0,TCP,443,57519,HTTPS,A,60
31,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43614,0,TCP,443,57519,HTTPS,A,60
32,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43615,0,TCP,443,57519,HTTPS,A,60
33,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43616,0,TCP,443,57519,HTTPS,A,60
34,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43617,0,TCP,443,57519,HTTPS,A,60
35,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43618,0,TCP,443,57519,HTTPS,PA,153
36,22:18:35,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,20.184.175.2,128,23081,0,TCP,57519,443,HTTPS,PA,89
37,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.168.112.67,192.168.1.10,109,29039,0,TCP,443,59530,HTTPS,SA,66
38,22:18:35,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.168.112.67,128,42687,0,TCP,59530,443,HTTPS,A,54
39,22:18:35,8c:53:e6:f8:58:87,b4:86:18:64:2d:f2,0x800,Outgoing,192.168.1.10,52.168.112.67,128,42688,0,TCP,59530,443,HTTPS,PA,571
40,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,20.184.175.2,192.168.1.10,99,43619,0,TCP,443,57519,HTTPS,A,60
41,22:18:35,b4:86:18:64:2d:f2,8c:53:e6:f8:58:87,0x800,Incoming,52.168.112.67,192.168.1.10,109,29040,0,TCP,443,59530,HTTPS,A,60
